[COMET X-RAY MEASUREMENT],,,,,,,,,"This is the machine we are doing the measurements on…we are asking your team to focus on this one machine, but we actually have 6 other machines we produce calibrations on.",,,,,,,,,,,,,,,,
Filename,,C:\CRData\2Jul2021-11-07_IBAFC65-Gsn1612.csv,,,,,,,This is just the location of where this .csv file lives,,,,,,,,,,,,,,,,
Date,,2/07/2021,,,,,,,date of measurement,,,,,,,,,,,,,,,,Add a field - client name
Chamber,,IBA FC65-G 1612,,,,,,,chamber id,,,,,,,,,,,,,,,,"This is not here (not going to add it), but needs to be in the DB structure."
Description,,Standard ratio measurement,,,,,,,text field,,,,,,,,,,,,,,,,
Software,,S:\Medical_Rad\Radiotherapy\Ionizing Radiation\IRS Inhouse Software\Twin Weblines LEX and MEX\Twin Webline Comet v8_1_PRODUCTION.vi,,,,,,,,,,,,,,code that took the measurements that produced this .csv - we need to know this because the versions change so this helps us keep track,,,,,,,,,
Backgrounds,,90,,,,,,,These change - changes the length of the file and records,,,,,,,,,,,,,,,,
Measurements,,30,,,,,,,"There are the number of readings taken during the session - so we take Background measurements and ""normal"" measurements",,,,,,,,,,,,,,,,
Trolley (mm),,1090,,,,,,,just a record ,,,,,,For the measurements - this means 30 measurements were taken for each beam quality,,,,,,,,,,
SCD (mm),,1000,,,,,,,just a record ,,,,,,,,,,,,,,,,
Aperture wheel,,2 CM,,,,,,,"Open, 1cm, 2cm…6cm These are fixed options (these are the seven options)",,,,,,,,,,,,,,,,
Comment,,QA chamber measurement set 1,,,,,,,Text field for comments,,,,,,,,,,,,,,,,
Monitor electrometer range,,Medium,,,,,,,"Low, Med, High options",,,,,,,,,,,,,,,,
Monitor HV,,300,,,,,,,number   ,,,,,,,,,,,,,,,,
MEFAC-IC electrometer range,,Low,,,,,,,"Low, Med, High options",,,,,,,,,,,,,,,,
IC HV,,-300,,,,,,,number,,,,,,,,,,,,,,,,
[DATA],,,,,,,,,,,,,,,,Don't need this! ,,,,,,,,,
