[COMET X-RAY MEASUREMENT]
Filename,,C:\CRData\9Dec2020-1-52P.csv
Date,,9/12/2020
Chamber,,PTW 30013 6533
Description,,Standard ratio measurement
Software,,S:\Medical_Rad\Radiotherapy\Ionizing Radiation\IRS Inhouse Software\Twin Weblines LEX and MEX\Twin Webline Comet v8_0-PRODUCTION.vi
Backgrounds,,90
Measurements,,30
Trolley (mm),,1090
SCD (mm),,1000
Aperture wheel,,2 CM
Comment,,client chamber measurement set 2
Monitor electrometer range,,Medium
Monitor HV,,300
MEFAC-IC electrometer range,,Low
IC HV,,-360
[DATA]
kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,1,0.250000,0.005000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,2,0.100000,0.005000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,3,0.500000,0.005000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,4,0.350000,0.004000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,5,0.500000,0.004000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,6,1.000000,0.004000,101.274000,21.868837,21.634152,22.478532,46.965453,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,7,0.450000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,8,0.500000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,9,0.050000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,10,0.400000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,11,0.150000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,12,0.250000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,13,0.000000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,14,0.000000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,15,0.250000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,16,0.000000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,17,0.000000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,18,0.000000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,19,0.000000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,20,-0.200000,0.003000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,21,0.200000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,22,0.300000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
40.000000,20.000000,NXB,FALSE,0.000000,NXJ40,FALSE,TRUE,23,0.250000,0.004000,101.273000,21.865887,21.621588,22.478716,46.969706,client chamber measurement set 2
